Area,Check,Pass Criteria,Status (Pass/Fail),Evidence/Notes
Environment,.env production-safe,"OTP_PROVIDER_MODE=live, OTP_EXPOSE_DEV_CODES=false, OTP_REQUIRE_LIVE_PROVIDERS=true, valid Twilio/SendGrid/Firebase keys",,
Environment,DB/Redis reachable,API boots without connection errors and /health returns ok,,
Environment,Migrations applied,"2026-02-21, 2026-02-22, 2026-02-23 run cleanly",,
Environment,Required tables exist,"users, rider_profiles, clubs, club_memberships, verification_codes, password_reset_codes, user_device_tokens exist",,
API Core,Health endpoint,GET /health returns 200 with status ok,,
API Core,Auth guarded endpoints,Missing or invalid bearer token returns 401,,
API Core,Rate limiting,Abusive repeated calls return 429 on protected routes,,
Auth,Rider signup,POST /api/auth/signup/rider creates account and verification challenge,,
Auth,Club signup,"POST /api/auth/signup/club creates account, club, and verification challenge",,
Auth,Duplicate prevention,Duplicate email/username/phone/club returns 409,,
Auth,OTP verify email/phone,POST /api/auth/verify marks channel verified and fully verified account becomes active,,
Auth,OTP resend throttle,Resend inside cooldown returns 429 and valid resend sends OTP,,
Auth,Login with email/username,POST /api/auth/login returns access and refresh tokens for verified users,,
Auth,Unverified login blocked,Unverified account login returns 403 with verificationRequired=true,,
Auth,Refresh token,POST /api/auth/refresh returns new access token for valid refresh token,,
Auth,Forgot password request,POST /api/auth/forgot-password/request sends reset OTP with anti-enumeration response,,
Auth,Forgot password confirm,POST /api/auth/forgot-password/confirm changes password and old password is rejected,,
Profile APIs,Summary fetch,GET /api/profile/me/summary returns role/account summary data,,
Profile APIs,Details fetch rider,Rider account receives full rider details from GET /api/profile/me/details,,
Profile APIs,Details fetch club,Club account receives full club details from GET /api/profile/me/details,,
Profile APIs,Rider update,"PATCH /api/profile/me/rider validates, persists, and returns updated profile",,
Profile APIs,Club update,"PATCH /api/profile/me/club validates, persists, and returns updated profile",,
Profile APIs,Role guard,Rider cannot call club update and club cannot call rider update (403),,
Mobile Auth UX,Sign-in fields,Login screen includes Email or username and Password,,
Mobile Auth UX,Forgot password UX,Request code and confirm reset works from SignIn screen,,
Mobile Profile UX,Summary screen,"Summary tab loads IDs, verification state, location, points, and distance",,
Mobile Profile UX,Detailed screen,Detailed tab supports view/edit/save with field-level validation,,
Mobile Profile UX,Unsaved changes handling,Cancel edit with dirty form shows discard confirmation,,
Push Setup,Token registration,Device token registers after login and post-login lifecycle,,
Push Setup,Test push endpoint,POST /api/notifications/test delivers to registered device token,,
Push Auth,profile_created,Delivered after signup for rider and club,,
Push Auth,auth_account_verified,Delivered when both verification channels complete,,
Push Auth,auth_login_success,Delivered on successful login,,
Push Auth,auth_password_changed,Delivered after forgot-password reset confirmation,,
Push Profile,profile_updated,Delivered on successful profile update,,
Push Profile,profile_update_failed,Triggered on server-side profile update failure path,,
Push System,profile_system_change,Delivered when club archive auto-switches riders to solo,,
Chat,Personal/group conversation flow,Create/list/messages work and new message emits socket and push,,
Chat,Help request flow,"Open help request, local rider notification, and responder match notification all work",,
Events,Create/list/interest/contact,All endpoints work and host receives event interest/contact pushes,,
Clubs,Directory/search,Club listing/filter/sort works and join status is visible,,
Clubs,Join workflow,Request/cancel/review (approve/reject) works with proper role guards,,
Clubs,Member moderation,Remove member works with expected notifications,,
Rides/Rewards,Ride stop and reward logic,Distance persists and 1 point per 100 km cumulative logic is correct,,
Challenges,Completion rewards,Challenge completion grants points once and sends push,,
Store,Product list/details,Products and details endpoints return valid data,,
Store,Checkout/order creation,Cart/order creation works and idempotency is honored,,
Store,Payment/webhook,Payment confirmation updates order and sends push and realtime status,,
Store,Shipping updates,Admin shipping status update emits socket and push,,
Resilience,Push failures non-blocking,Business actions continue if FCM send fails via sendPushToUsersSafe,,
Security,JWT and permissions,Unauthorized access blocked on all protected and role-based endpoints,,
Security,Sensitive response hygiene,No OTP/dev codes exposed in production configuration,,
Observability,Error visibility,Server logs provide actionable errors for OTP/push/payment/profile failures,,
Release Gate,Build/test,npm run build and npm run test pass cleanly,,
Release Gate,Manual smoke,Full rider and club end-to-end journeys pass on device/emulator,,
Final Sign-off,Go-live decision,All rows are Pass and no Sev1/Sev2 blockers remain open,,
